sku,additional_attributes
I0005631,"designer=Max Factor,size=30 ml,type=Foundation + Serum,gender=Women,upc=5013965995354,pwwsku=W-C-3660"
I0005632,"designer=Max Factor,size=30 ml,type=Foundation + Serum,gender=Women,upc=5013965995507,pwwsku=W-C-3652"
I0005633,"designer=Max Factor,size=30 ml,type=Foundation + Serum,gender=Women,upc=5013965995545,pwwsku=W-C-3661"
I0005634,"designer=Max Factor,size=30 ml,type=Foundation + Serum,gender=Women,upc=5013965995583,pwwsku=W-C-3654"
I0005635,"designer=Max Factor,size=30 ml,type=Foundation + Serum,gender=Women,upc=5013965995248,pwwsku=W-C-3653"
I0005636,"designer=Bourjois,size=1 oz,type=Foundation,gender=Women,upc=3052503155104,pwwsku=W-C-13459"
I0005637,"designer=Bourjois,size=1 oz,type=Foundation,gender=Women,upc=3052503155203,pwwsku=W-C-13461"
I0005638,"designer=Bourjois,size=1 oz,type=Foundation,gender=Women,upc=3052503155302,pwwsku=W-C-13460"
I0005639,"designer=Bourjois,size=1 oz,type=Foundation,gender=Women,upc=3052503155401,pwwsku=W-C-13458"
I0005640,"designer=Bourjois,size=1 oz,type=Foundation,gender=Women,upc=3052503155500,pwwsku=W-C-13457"
I0005641,"designer=Clinique,size=0.05 oz,type=Concealer,gender=Women,upc=20714181345,pwwsku=W-C-4913"
I0005642,"designer=Clinique,size=0.05 oz,type=Concealer,gender=Women,upc=20714181352,pwwsku=W-C-4914"
I0005643,"designer=Clinique,size=0.05 oz,type=Concealer,gender=Women,upc=20714219949,pwwsku=W-C-4915"
I0005644,"designer=Clinique,size=0.05 oz,type=Concealer,gender=Women,upc=20714731304,pwwsku=W-C-11009"
I0005645,"designer=Clinique,size=0.05 oz,type=Concealer,gender=Women,upc=20714731311,pwwsku=W-C-9552"
I0005646,"designer=Clinique,size=0.33 oz,type=Concealer,gender=Women,upc=20714235338,pwwsku=W-C-4877"
I0005647,"designer=Clinique,size=0.33 oz,type=Concealer,gender=Women,upc=20714235352,pwwsku=W-C-4875"
I0005648,"designer=Clinique,size=0.33 oz,type=Concealer,gender=Women,upc=20714235369,pwwsku=W-C-4876"
I0005649,"designer=Clinique,size=0.28 oz,type=Eye Shadow,gender=Women,upc=20714781125,pwwsku=W-C-11043"
I0005650,"designer=Clinique,size=0.07 oz,type=Eye Shadow,gender=Women,upc=20714586942,pwwsku=W-C-5653"
I0005651,"designer=Clinique,size=0.07 oz,type=Eye Shadow,gender=Women,upc=20714587031,pwwsku=W-C-5650"
I0005652,"designer=Clinique,size=0.07 oz,type=Eye Shadow,gender=Women,upc=20714587055,pwwsku=W-C-7966"
I0005653,"designer=Clinique,size=0.16 oz,type=Eyeshadow,gender=Women,upc=20714587321,pwwsku=W-C-5944"
I0005654,"designer=Clinique,size=0.16 oz,type=Eyeshadow,gender=Women,upc=20714587345,pwwsku=W-C-5943"
I0005655,"designer=Clinique,size=0.16 oz,type=Eyeshadow,gender=Women,upc=20714587352,pwwsku=W-C-5946"
I0005656,"designer=Clinique,size=0.16 oz,type=Eyeshadow,gender=Women,upc=20714587383,pwwsku=W-C-5947"
I0005657,"designer=Clinique,size=0.16 oz,type=Eyeshadow,gender=Women,upc=20714587390,pwwsku=W-C-5945"
I0005658,"designer=Clinique,size=0.16 oz,type=Eyeshadow,gender=Women,upc=20714587406,pwwsku=W-C-5942"
I0005659,"designer=Clinique,size=0.07 oz,type=Eye Shadow,gender=Women,upc=20714620806,pwwsku=W-C-6791"
I0005660,"designer=NARS,size=1 oz,type=Foundation,gender=Women,upc=607845064374,pwwsku=W-C-13537"
I0005661,"designer=NARS,size=1 oz,type=Foundation,gender=Women,upc=607845064428,pwwsku=W-C-13538"
I0005662,"designer=NARS,size=1 oz,type=Foundation,gender=Women,upc=607845064473,pwwsku=W-C-13539"
I0005663,"designer=NARS,size=1 oz,type=Foundation,gender=Women,upc=607845064381,pwwsku=W-C-13540"
I0005664,"designer=NARS,size=1 oz,type=Foundation,gender=Women,upc=607845064329,pwwsku=W-C-13541"
I0005665,"designer=NARS,size=1 oz,type=Foundation,gender=Women,upc=607845064480,pwwsku=W-C-13542"
I0005666,"designer=NARS,size=1 oz,type=Foundation,gender=Women,upc=607845064398,pwwsku=W-C-13543"
I0005667,"designer=NARS,size=1 oz,type=Foundation,gender=Women,upc=607845064435,pwwsku=W-C-13544"
I0005668,"designer=NARS,size=1 oz,type=Foundation,gender=Women,upc=607845064497,pwwsku=W-C-13545"
I0005669,"designer=NARS,size=1 oz,type=Foundation,gender=Women,upc=607845064442,pwwsku=W-C-13546"
I0005670,"designer=NARS,size=1 oz,type=Foundation,gender=Women,upc=607845064336,pwwsku=W-C-13547"
I0005671,"designer=NARS,size=1 oz,type=Foundation,gender=Women,upc=607845064404,pwwsku=W-C-13548"
I0005672,"designer=NARS,size=1 oz,type=Foundation,gender=Women,upc=607845064411,pwwsku=W-C-13549"
I0005673,"designer=Nars,size=1 oz,type=Foundation,gender=Women,upc=607845064343,pwwsku=W-C-15675"
I0005674,"designer=NARS,size=1 oz,type=Foundation,gender=Women,upc=607845064459,pwwsku=W-C-13550"
I0005675,"designer=NARS,size=1 oz,type=Foundation,gender=Women,upc=607845064350,pwwsku=W-C-13551"
I0005676,"designer=NARS,size=1 oz,type=Foundation,gender=Women,upc=607845064466,pwwsku=W-C-13552"
I0005677,"designer=NARS,size=1 oz,type=Foundation,gender=Women,upc=607845064367,pwwsku=W-C-13553"
I0005678,"designer=Elizabeth Arden,size=3.4 oz,type=Makeup Remover,gender=Women,upc=85805190903,pwwsku=W-C-10328"
I0005679,"designer=Clinique,size=11 Pc,type=Palette,gender=Women,upc=20714311971,pwwsku=105583"
I0005680,"designer=Blinc,size=1 Pc,type=Brush,gender=Women,upc=854751005391,pwwsku=W-C-11773"
I0005681,"designer=Lipstick Queen,size=0.12 oz,type=Lipstick,gender=Women,upc=814391014108,pwwsku=W-C-9642"
I0005682,"designer=Lipstick Queen,size=0.12 oz,type=Lipstick,gender=Women,upc=814391014115,pwwsku=W-C-9643"
I0005683,"designer=Lipstick Queen,size=0.12 oz,type=Lipstick,gender=Women,upc=814391014122,pwwsku=W-C-9644"
I0005684,"designer=Lipstick Queen,size=0.12 oz,type=Lipstick,gender=Women,upc=814391014139,pwwsku=W-C-9645"
I0005685,"designer=Christian Dior,size=0.26 oz,type=Eyebrow,gender=Women,upc=3348901285698,pwwsku=W-C-11659"
I0005686,"designer=bareMinerals,size=0.05 oz,type=Powder,gender=Women,upc=98132160655,pwwsku=W-C-8135"
I0005687,"designer=Chanel,size=0.12 oz,type=Lipstick,gender=Women,upc=3145891605808,pwwsku=75247"
I0005688,"designer=Chanel,size=0.12 oz,type=Lipstick,gender=Women,upc=3145891606805,pwwsku=112916"
I0005689,"designer=Almay,size=0.22 oz,type=Mascara,gender=Women,upc=309978307013,pwwsku=W-C-1307"
I0005690,"designer=Almay,size=0.009 oz,type=Eye liner,gender=Women,upc=309979590032,pwwsku=W-C-2535"
I0005691,"designer=Almay,size=0.22 oz,type=Mascara,gender=Women,upc=309978307037,pwwsku=W-C-1308"
I0005692,"designer=Clinique,size=0.31 oz,type=Foundation,gender=Women,upc=20714369477,pwwsku=W-C-15144"
I0005693,"designer=Clinique,size=0.31 oz,type=Foundation,gender=Women,upc=20714369484,pwwsku=W-C-15145"
I0005694,"designer=Clinique,size=0.31 oz,type=Foundation,gender=Women,upc=20714369491,pwwsku=W-C-15146"
I0005695,"designer=Clinique,size=0.31 oz,type=Foundation,gender=Women,upc=20714369507,pwwsku=W-C-15147"
I0005696,"designer=Clinique,size=0.31 oz,type=Foundation,gender=Women,upc=20714369521,pwwsku=W-C-15148"
I0005697,"designer=Lipstick Queen,size=0.14 oz,type=Lip Gloss,gender=Women,upc=814391017321,pwwsku=W-C-15384"
I0005698,"designer=Lipstick Queen,size=0.14 oz,type=Lip Gloss,gender=Women,upc=814391017024,pwwsku=W-C-15385"
I0005699,"designer=SmashBox,size=0.04 oz,type=Eyeliner,gender=Women,upc=607710056381,pwwsku=W-C-14979"
I0005700,"designer=SmashBox,size=0.04 oz,type=Eyeliner,gender=Women,upc=607710056404,pwwsku=W-C-14980"
I0005701,"designer=SmashBox,size=0.04 oz,type=Eyeliner,gender=Women,upc=607710056374,pwwsku=W-C-14981"
I0005702,"designer=SmashBox,size=0.04 oz,type=Eyeliner,gender=Women,upc=607710056428,pwwsku=W-C-14982"
I0005703,"designer=SmashBox,size=0.04 oz,type=Eyeliner,gender=Women,upc=607710057432,pwwsku=W-C-14983"
I0005704,"designer=SmashBox,size=0.04 oz,type=Eyeliner,gender=Women,upc=607710056411,pwwsku=W-C-14984"
I0005705,"designer=SmashBox,size=0.04 oz,type=Eyeliner,gender=Women,upc=607710056367,pwwsku=W-C-14985"
I0005706,"designer=SmashBox,size=0.04 oz,type=Eyeliner,gender=Women,upc=607710056350,pwwsku=W-C-14986"
I0005707,"designer=SmashBox,size=0.01 oz,type=Eye Liner,gender=Women,upc=607710030374,pwwsku=W-C-14987"
I0005708,"designer=Jane Iredale,size=0.37 oz,type=Powder,gender=Women,upc=670959110091,pwwsku=W-C-7419"
I0005709,"designer=Jane Iredale,size=0.37 oz,type=Powder,gender=Women,upc=670959112545,pwwsku=W-C-7420"
I0005710,"designer=Jane Iredale,size=0.37 oz,type=Powder,gender=Women,upc=670959111142,pwwsku=W-C-12620"
I0005711,"designer=Jane Iredale,size=0.37 oz,type=Powder,gender=Women,upc=670959112569,pwwsku=W-C-9799"
I0005712,"designer=Jane Iredale,size=0.37 oz,type=Powder,gender=Women,upc=670959111272,pwwsku=W-C-7421"
I0005713,"designer=Jane Iredale,size=0.37 oz,type=Powder,gender=Women,upc=670959112583,pwwsku=W-C-9796"
I0005714,"designer=Jane Iredale,size=0.37 oz,type=Powder,gender=Women,upc=670959112590,pwwsku=W-C-9797"
I0005715,"designer=Jane Iredale,size=0.37 oz,type=Powder,gender=Women,upc=670959112606,pwwsku=W-C-9800"
I0005716,"designer=Jane Iredale,size=0.37 oz,type=Powder,gender=Women,upc=670959112613,pwwsku=W-C-7422"
I0005717,"designer=Jane Iredale,size=0.35 oz,type=Powder,gender=Women,upc=670959110107,pwwsku=W-C-7423"
I0005718,"designer=Jane Iredale,size=0.3 oz,type=Powder,gender=Women,upc=670959111210,pwwsku=W-C-9798"
I0005719,"designer=Jane Iredale,size=0.35 oz,type=Powder,gender=Women,upc=670959112651,pwwsku=W-C-7424"
I0005720,"designer=Jane Iredale,size=0.37 oz,type=Powder,gender=Women,upc=670959110077,pwwsku=W-C-12621"
I0005721,"designer=Jane Iredale,size=0.37 oz,type=Powder,gender=Women,upc=670959110053,pwwsku=W-C-12619"
I0005722,"designer=Too Faced,size=0.32 oz,type=Powder,gender=Women,upc=651986700462,pwwsku=W-C-4608"
I0005723,"designer=Jane Iredale,size=0.2 oz,type=Powder,gender=Women,upc=670959111418,pwwsku=W-C-7386"
I0005724,"designer=MAC,size=0.1 oz,type=Lipstick,gender=Women,upc=773602063574,pwwsku=W-C-15131"
I0005725,"designer=TIGI,size=1 Pc,type=Brush,gender=Women,upc=843711205537,pwwsku=W-C-7967"
I0005726,"designer=Dolce & Gabbana,size=1 Pc,type=Brush,gender=Women,upc=737052489803,pwwsku=W-C-8739"
I0005727,"designer=Wet n Wild,size=1 Pc,type=Brush,gender=Women,upc=77802478122,pwwsku=W-C-12059"
I0005728,"designer=Clinique,size=1 oz,type=Foundation,gender=Women,upc=20714394776,pwwsku=W-C-9554"
I0005729,"designer=La Prairie,size=1 oz,type=Foundation,gender=Women,upc=7611773150002,pwwsku=W-C-5725"
I0005730,"designer=La Prairie,size=1 oz,type=Foundation,gender=Women,upc=7611773150019,pwwsku=W-C-5722"
I0005731,"designer=La Prairie,size=1 oz,type=Foundation,gender=Women,upc=7611773150026,pwwsku=W-C-5723"
I0005732,"designer=La Prairie,size=1 oz,type=Foundation (Tester),gender=Women,upc=7611773189651,pwwsku=W-C-15149"
I0005733,"designer=La Prairie,size=1 oz,type=Foundation,gender=Women,upc=7611773150040,pwwsku=W-C-5724"
I0005734,"designer=La Prairie,size=1 oz,type=Foundation,gender=Women,upc=7611773150071,pwwsku=W-C-9238"
I0005735,"designer=La Prairie,size=1 oz,type=Foundation,gender=Women,upc=7611773150033,pwwsku=W-C-3063"
I0005736,"designer=La Prairie,size=1 oz,type=Foundation,gender=Women,upc=7611773150057,pwwsku=W-C-3064"
I0005737,"designer=La Prairie,size=1 oz,type=Foundation,gender=Women,upc=7611773150064,pwwsku=W-C-3057"
I0005738,"designer=Clinique,size=0.34 oz,type=Concealer,gender=Women,upc=20714330934,pwwsku=W-C-9818"
I0005739,"designer=Clinique,size=0.34 oz,type=Concealer,gender=Women,upc=20714330941,pwwsku=W-C-9819"
I0005740,"designer=Clinique,size=1 oz,type=Foundation,gender=Women,upc=20714394813,pwwsku=W-C-4929"
I0005741,"designer=Clinique,size=1 oz,type=Foundation,gender=Women,upc=20714394783,pwwsku=W-C-4933"
I0005742,"designer=Clinique,size=1 oz,type=Foundation,gender=Women,upc=20714394790,pwwsku=W-C-4934"
I0005743,"designer=Clinique,size=1 oz,type=Foundation,gender=Women,upc=20714394806,pwwsku=W-C-4935"
I0005744,"designer=Yves Saint Laurent,size=0.07 oz,type=Concealer,gender=Women,upc=3365440096189,pwwsku=W-C-5235"
I0005745,"designer=Yves Saint Laurent,size=0.07 oz,type=Concealer,gender=Women,upc=3365440096219,pwwsku=W-C-5236"
I0005746,"designer=Yves Saint Laurent,size=0.07 oz,type=Concealer,gender=Women,upc=3365440096240,pwwsku=W-C-5237"
I0005747,"designer=Laura Mercier,size=0.05 oz,type=Lip Liner,gender=Women,upc=736150084521,pwwsku=W-C-14202"
I0005748,"designer=Youngblood,size=0.25 oz,type=Anti-Shine,gender=Women,upc=696137207315,pwwsku=W-C-11873"
I0005749,"designer=Prescriptives,size=0.14 oz,type=Lipstick,gender=Women,upc=102183768026,pwwsku=W-C-1462"
I0005750,"designer=Prescriptives,size=0.14 oz,type=Lipstick,gender=Women,upc=103504768022,pwwsku=W-C-1464"
I0005751,"designer=Prescriptives,size=0.14 oz,type=Lipstick,gender=Women,pwwsku=W-C-1465"
I0005752,"designer=Prescriptives,size=0.14 oz,type=Lipstick,gender=Women,pwwsku=W-C-1466"
I0005753,"designer=Prescriptives,size=0.14 oz,type=Lipstick,gender=Women,pwwsku=W-C-1460"
I0005754,"designer=Prescriptives,size=0.14 oz,type=Lipstick,gender=Women,pwwsku=W-C-1463"
I0005755,"designer=Prescriptives,size=0.14 oz,type=Lipstick,gender=Women,pwwsku=W-C-1461"
I0005756,"designer=the Balm,size=0.476 oz,type=Eyeshadow,gender=Women,upc=681619809088,pwwsku=W-C-10669"
I0005757,"designer=Biotherm,size=0.35 oz,type=SPF Foundation,gender=Women,upc=3605540174654,pwwsku=102058"
I0005758,"designer=CoverGirl,size=0.4 oz,type=Foundation,gender=Women,upc=22700458332,pwwsku=W-C-10036"
I0005759,"designer=CoverGirl,size=0.4 oz,type=Foundation,gender=Women,upc=22700458349,pwwsku=W-C-10037"
I0005760,"designer=CoverGirl,size=0.4 oz,type=Foundation,gender=Women,upc=22700458370,pwwsku=W-C-10038"
I0005761,"designer=CoverGirl,size=0.4 oz,type=Foundation,gender=Women,upc=22700576777,pwwsku=W-C-10039"
I0005762,"designer=CoverGirl,size=0.4 oz,type=Foundation,gender=Women,upc=22700576654,pwwsku=W-C-10040"
I0005763,"designer=CoverGirl,size=0.4 oz,type=Foundation,gender=Women,upc=22700576661,pwwsku=W-C-10041"
I0005764,"designer=CoverGirl,size=0.4 oz,type=Foundation,gender=Women,upc=22700576678,pwwsku=W-C-10042"
I0005765,"designer=CoverGirl,size=0.4 oz,type=Foundation,gender=Women,upc=22700576685,pwwsku=W-C-10043"
I0005766,"designer=CoverGirl,size=0.4 oz,type=Foundation,gender=Women,upc=22700576708,pwwsku=W-C-10044"
I0005767,"designer=CoverGirl,size=0.4 oz,type=Foundation,gender=Women,upc=22700576715,pwwsku=W-C-10045"
I0005768,"designer=CoverGirl,size=0.4 oz,type=Foundation,gender=Women,upc=22700576722,pwwsku=W-C-10046"
I0005769,"designer=W7,size=0.1 oz,type=Lip Balm,gender=Women,upc=5060406140606,pwwsku=W-C-13783"
I0005770,"designer=Lancome,size=0.05 oz,type=Artliner,gender=Women,upc=3147758873016,pwwsku=14021"
I0005771,"designer=Lancome,size=0.047 oz,type=Eye Liner,gender=Women,upc=3605533094471,pwwsku=W-C-5092"
I0005772,"designer=Lancome,size=0.047 oz,type=Eye Liner,gender=Women,upc=3605533094549,pwwsku=W-C-5093"
I0005773,"designer=Lancome,size=0.04 oz,type=Eye Liner,gender=Women,upc=3605970258184,pwwsku=W-C-6747"
I0005774,"designer=Lancome,size=0.036 oz,type=Eyeshadow,gender=Women,upc=3605971050619,pwwsku=W-C-15040"
I0005775,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094531,pwwsku=W-C-13592"
I0005776,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094609,pwwsku=W-C-13063"
I0005777,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094593,pwwsku=W-C-13061"
I0005778,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094715,pwwsku=W-C-13593"
I0005779,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094586,pwwsku=W-C-13594"
I0005780,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094630,pwwsku=W-C-13064"
I0005781,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094784,pwwsku=W-C-13595"
I0005782,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094623,pwwsku=W-C-13596"
I0005783,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094876,pwwsku=W-C-13597"
I0005784,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094654,pwwsku=W-C-13598"
I0005785,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094579,pwwsku=W-C-13599"
I0005786,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094500,pwwsku=W-C-13600"
I0005787,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094777,pwwsku=W-C-13601"
I0005788,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094555,pwwsku=W-C-13062"
I0005789,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094685,pwwsku=W-C-13602"
I0005790,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094524,pwwsku=W-C-13603"
I0005791,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094548,pwwsku=W-C-13604"
I0005792,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094845,pwwsku=W-C-13605"
I0005793,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094661,pwwsku=W-C-13606"
I0005794,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094869,pwwsku=W-C-13607"
I0005795,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094708,pwwsku=W-C-13065"
I0005796,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094852,pwwsku=W-C-13608"
I0005797,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094678,pwwsku=W-C-13609"
I0005798,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094746,pwwsku=W-C-13610"
I0005799,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094722,pwwsku=W-C-13611"
I0005800,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094838,pwwsku=W-C-13612"
I0005801,"designer=NARS,size=0.14 oz,type=Lipstick,gender=Women,upc=607845094562,pwwsku=W-C-13613"
I0005802,"designer=the Balm,size=1 Pc,type=Palette,gender=Women,upc=681619803901,pwwsku=W-C-10576"
I0005803,"designer=the Balm,size=1 Pc,type=Palette,gender=Women,upc=681619803918,pwwsku=W-C-10577"
I0005804,"designer=Shiseido,size=0.04 oz,type=Eye Liner,gender=Women,upc=729238105027,pwwsku=115116"
I0005805,"designer=Shiseido,size=0.04 oz,type=Eye Liner,gender=Women,upc=729238105034,pwwsku=115114"
I0005806,"designer=OPI,size=0.25 oz,type=Oil,gender=Women,upc=619828045775,pwwsku=W-C-12448"
I0005807,"designer=OPI,size=0.5 oz,type=Cuticle Treatment,gender=Women,upc=619828091086,pwwsku=W-C-8267"
I0005808,"designer=OPI,size=1 oz,type=Treatment,gender=Women,upc=9499313,pwwsku=W-C-12509"
I0005809,"designer=OPI,size=0.47 oz,type=Gel,gender=Women,upc=619828031440,pwwsku=W-C-12516"
I0005810,"designer=Borghese,size=4.25 g,type=Lipstick,gender=Women,upc=739581022377,pwwsku=77472"
I0005811,"designer=Yves Saint Laurent,size=0.33 oz,type=Lip Gloss,gender=Women,upc=3365440737969,pwwsku=W-C-5617"
I0005812,"designer=Yves Saint Laurent,size=0.33 oz,type=Lip Gloss,gender=Women,upc=3365440738508,pwwsku=W-C-5618"
I0005813,"designer=Yves Saint Laurent,size=0.33 oz,type=Lip Gloss,gender=Women,upc=3365440738027,pwwsku=W-C-5619"
I0005814,"designer=Yves Saint Laurent,size=0.33 oz,type=Lip Gloss,gender=Women,upc=3365440738140,pwwsku=W-C-5616"
I0005815,"designer=Yves Saint Laurent,size=0.33 oz,type=Lip Gloss,gender=Women,upc=3365440738201,pwwsku=W-C-5620"
I0005816,"designer=Yves Saint Laurent,size=0.33 oz,type=Lip Gloss,gender=Women,upc=3365440738324,pwwsku=W-C-5621"
I0005817,"designer=Christian Dior,size=1 Pc,type=Sponge,gender=Women,upc=3348901281249,pwwsku=W-C-11275"
I0005818,"designer=Christian Dior,size=5 Pc,type=Powder Brush, Fluid Foundation Brush, Eyeshadow Brush, Eyeliner Brush, Lip Brush,gender=Women,upc=3348901313797,pwwsku=W-C-11520"
I0005819,"designer=Christian Dior,size=1 Pc,type=Brush,gender=Women,upc=3348901146456,pwwsku=W-C-7274"
I0005820,"designer=Christian Dior,size=1 Pc,type=Brush,gender=Women,upc=3348901146524,pwwsku=W-C-8216"
I0005821,"designer=Christian Dior,size=1 Pc,type=Eye Liner Brush,gender=Women,upc=3348901146500,pwwsku=W-C-5190"
I0005822,"designer=Christian Dior,size=1 Pc,type=Brush,gender=Women,upc=3348901103725,pwwsku=W-C-7701"
I0005823,"designer=Christian Dior,size=1 Pc,type=Brush,gender=Women,upc=3348901146487,pwwsku=W-C-8218"
I0005824,"designer=Christian Dior,size=1 Pc,type=Lip Brush,gender=Women,upc=3348901146531,pwwsku=W-C-7280"
I0005825,"designer=Christian Dior,size=1 Pc,type=Brush,gender=Women,upc=3348901146470,pwwsku=W-C-7696"
I0005826,"designer=Christian Dior,size=1 Pc,type=Brush,gender=Women,upc=3348901146463,pwwsku=W-C-7159"
I0005827,"designer=Christian Dior,size=1 oz,type=Brush,gender=Women,upc=3348901146494,pwwsku=W-C-7144"
I0005828,"designer=the Balm,size=0.25 oz,type=Makeup,gender=Women,upc=681619700279,pwwsku=W-C-7984"
I0005829,"designer=Laura Mercier,size=0.28 oz,type=Blush,gender=Women,upc=736150151384,pwwsku=W-C-10968"
I0005830,"designer=Laura Mercier,size=0.06 oz,type=Eye Shadow,gender=Women,upc=736150092342,pwwsku=W-C-10863"
I0005831,"designer=Laura Mercier,size=0.06 oz,type=Eye Shadow,gender=Women,upc=736150090737,pwwsku=W-C-10864"
I0005832,"designer=Laura Mercier,size=0.06 oz,type=Eye Shadow,gender=Women,upc=736150090775,pwwsku=W-C-10865"
I0005833,"designer=Laura Mercier,size=0.06 oz,type=Eye Shadow,gender=Women,upc=736150090805,pwwsku=W-C-10866"
I0005834,"designer=the Balm,size=1 Pc,type=Palette,gender=Women,upc=681619802256,pwwsku=W-C-8003"
I0005835,"designer=Revlon,size=0.095 oz,type=Lipstick,gender=Women,upc=309976348018,pwwsku=W-C-14729"
I0005836,"designer=Revlon,size=0.095 oz,type=Lipstick,gender=Women,upc=309976348254,pwwsku=W-C-14730"
I0005837,"designer=Revlon,size=0.095 oz,type=Lipstick,gender=Women,upc=309976348308,pwwsku=W-C-14731"
I0005838,"designer=Revlon,size=0.095 oz,type=Lipstick,gender=Women,upc=309976348407,pwwsku=W-C-14732"
I0005839,"designer=the Balm,size=2.2 oz,type=Makeup Remover,gender=Women,upc=681619800085,pwwsku=W-C-10567"
I0005840,"designer=the Balm,size=2.15 oz,type=Makeup,gender=Women,upc=681619800788,pwwsku=W-C-12800"
I0005841,"designer=the Balm,size=2.15 oz,type=Makeup,gender=Women,upc=681619800771,pwwsku=W-C-12799"
I0005842,"designer=the Balm,size=2.15 oz,type=Makeup,gender=Women,upc=681619200052,pwwsku=W-C-7994"
I0005843,"designer=the Balm,size=2.15 oz,type=Makeup,gender=Women,upc=681619200069,pwwsku=W-C-7995"
I0005844,"designer=the Balm,size=2.15 oz,type=Makeup,gender=Women,upc=681619800757,pwwsku=W-C-7996"
I0005845,"designer=the Balm,size=2.15 oz,type=Makeup,gender=Women,upc=681619200076,pwwsku=W-C-7997"
I0005846,"designer=the Balm,size=2.15 oz,type=Makeup,gender=Women,upc=681619800764,pwwsku=W-SC-2798"
I0005847,"designer=Ciate London,size=0.35 oz,type=Powder,gender=Women,upc=5060414310589,pwwsku=W-C-7617"
I0005848,"designer=Ofra,size=0.1 oz,type=Powder,gender=Women,upc=693102510111,pwwsku=W-C-13299"
I0005849,"designer=LOreal Paris,size=0.11 oz,type=Lip Gloss,gender=Women,upc=71249141205,pwwsku=W-C-1993"
I0005850,"designer=LOreal Paris,size=0.11 oz,type=Lip Gloss,gender=Women,upc=71249141267,pwwsku=W-C-1994"
I0005851,"designer=LOreal Paris,size=0.11 oz,type=Lip Gloss,gender=Women,upc=71249141281,pwwsku=W-C-1705"
I0005852,"designer=LOreal Paris,size=0.11 oz,type=Lip Gloss,gender=Women,upc=71249141298,pwwsku=W-C-1995"
I0005853,"designer=LOreal Paris,size=0.11 oz,type=Lip Gloss,gender=Women,upc=71249141281,pwwsku=W-C-1706"
I0005854,"designer=LOreal Paris,size=0.11 oz,type=Lip Gloss,gender=Women,upc=71249141281,pwwsku=W-C-1704"
I0005855,"designer=LOreal Paris,size=0.16 oz,type=Mascara,gender=Women,upc=71249123393,pwwsku=W-C-1723"
I0005856,"designer=LOreal Paris,size=0.16 oz,type=Mascara,gender=Women,upc=71249123409,pwwsku=W-C-1722"
I0005857,"designer=LOreal Paris,size=0.16 oz,type=Mascara,gender=Women,upc=71249160558,pwwsku=W-C-1732"
I0005858,"designer=bareMinerals,size=0.03 oz,type=Blush,gender=Women,upc=98132175086,pwwsku=W-C-10586"
I0005859,"designer=bareMinerals,size=0.03 oz,type=Blush,gender=Women,upc=98132175260,pwwsku=W-C-10589"
I0005860,"designer=bareMinerals,size=0.03 oz,type=Blush,gender=Women,upc=98132175420,pwwsku=W-C-10591"
I0005861,"designer=bareMinerals,size=0.02 oz,type=Eye Color,gender=Women,upc=98132110476,pwwsku=W-C-8134"
I0005862,"designer=bareMinerals,size=0.02 oz,type=Eye Color,gender=Women,upc=98132003662,pwwsku=W-C-8119"
I0005863,"designer=bareMinerals,size=0.34 oz,type=Foundation,gender=Women,upc=98132472451,pwwsku=W-C-15399"
I0005864,"designer=bareMinerals,size=0.34 oz,type=Foundation,gender=Women,upc=98132472475,pwwsku=W-C-15400"
I0005865,"designer=bareMinerals,size=0.34 oz,type=Foundation,gender=Women,upc=98132472499,pwwsku=W-C-15401"
